Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
SRR8146935_1	(14.0, 5.0)	(15.0, 44.0)	(16.0, 230.0)	(17.0, 694.0)	(18.0, 1688.0)	(19.0, 3741.0)	(20.0, 8693.0)	(21.0, 18590.0)	(22.0, 35877.0)	(23.0, 64145.0)	(24.0, 105592.0)	(25.0, 161303.0)	(26.0, 232065.0)	(27.0, 314921.0)	(28.0, 410016.0)	(29.0, 514136.0)	(30.0, 624520.0)	(31.0, 747634.0)	(32.0, 878623.0)	(33.0, 1030135.0)	(34.0, 1208049.0)	(35.0, 1436446.0)	(36.0, 1765892.0)	(37.0, 2280552.0)	(38.0, 3237028.0)	(39.0, 5911520.0)	(40.0, 19066584.0)				
SRR8146935_2	(11.0, 8.0)	(12.0, 50.0)	(13.0, 404.0)	(14.0, 1377.0)	(15.0, 5076.0)	(16.0, 19794.0)	(17.0, 49590.0)	(18.0, 86343.0)	(19.0, 125821.0)	(20.0, 166814.0)	(21.0, 211232.0)	(22.0, 257859.0)	(23.0, 308253.0)	(24.0, 364055.0)	(25.0, 420160.0)	(26.0, 484729.0)	(27.0, 553602.0)	(28.0, 628253.0)	(29.0, 712821.0)	(30.0, 809566.0)	(31.0, 923634.0)	(32.0, 1058108.0)	(33.0, 1228452.0)	(34.0, 1443867.0)	(35.0, 1737955.0)	(36.0, 2162386.0)	(37.0, 2829616.0)	(38.0, 4028156.0)	(39.0, 6928750.0)	(40.0, 12511992.0)	
SRR8146936_1	(13.0, 1.0)	(14.0, 11.0)	(15.0, 120.0)	(16.0, 551.0)	(17.0, 1380.0)	(18.0, 2708.0)	(19.0, 4839.0)	(20.0, 8794.0)	(21.0, 16836.0)	(22.0, 31451.0)	(23.0, 54949.0)	(24.0, 91525.0)	(25.0, 140029.0)	(26.0, 203945.0)	(27.0, 280337.0)	(28.0, 367991.0)	(29.0, 462792.0)	(30.0, 566996.0)	(31.0, 681760.0)	(32.0, 805869.0)	(33.0, 943796.0)	(34.0, 1110955.0)	(35.0, 1333728.0)	(36.0, 1651878.0)	(37.0, 2158316.0)	(38.0, 3093682.0)	(39.0, 5727220.0)	(40.0, 18750842.0)			
SRR8146936_2	(11.0, 1.0)	(12.0, 29.0)	(13.0, 421.0)	(14.0, 1340.0)	(15.0, 4021.0)	(16.0, 13620.0)	(17.0, 33465.0)	(18.0, 58239.0)	(19.0, 86205.0)	(20.0, 116603.0)	(21.0, 150638.0)	(22.0, 187575.0)	(23.0, 228171.0)	(24.0, 273801.0)	(25.0, 321860.0)	(26.0, 375290.0)	(27.0, 434842.0)	(28.0, 501673.0)	(29.0, 577186.0)	(30.0, 667418.0)	(31.0, 770783.0)	(32.0, 897186.0)	(33.0, 1058806.0)	(34.0, 1262585.0)	(35.0, 1546821.0)	(36.0, 1959113.0)	(37.0, 2604180.0)	(38.0, 3794526.0)	(39.0, 6843742.0)	(40.0, 13723161.0)	
SRR8146938_1	(14.0, 6.0)	(15.0, 37.0)	(16.0, 109.0)	(17.0, 434.0)	(18.0, 1243.0)	(19.0, 3539.0)	(20.0, 9079.0)	(21.0, 20047.0)	(22.0, 39545.0)	(23.0, 71710.0)	(24.0, 118749.0)	(25.0, 182003.0)	(26.0, 260981.0)	(27.0, 355941.0)	(28.0, 461938.0)	(29.0, 578948.0)	(30.0, 705863.0)	(31.0, 842069.0)	(32.0, 990582.0)	(33.0, 1160755.0)	(34.0, 1362760.0)	(35.0, 1626137.0)	(36.0, 1993207.0)	(37.0, 2573055.0)	(38.0, 3657240.0)	(39.0, 6682168.0)	(40.0, 22027934.0)				
SRR8146938_2	(10.0, 1.0)	(11.0, 4.0)	(12.0, 59.0)	(13.0, 390.0)	(14.0, 1353.0)	(15.0, 4718.0)	(16.0, 16806.0)	(17.0, 42684.0)	(18.0, 76945.0)	(19.0, 115632.0)	(20.0, 157436.0)	(21.0, 204140.0)	(22.0, 253130.0)	(23.0, 307226.0)	(24.0, 364583.0)	(25.0, 426516.0)	(26.0, 496626.0)	(27.0, 571561.0)	(28.0, 655400.0)	(29.0, 749977.0)	(30.0, 857834.0)	(31.0, 984511.0)	(32.0, 1134961.0)	(33.0, 1320898.0)	(34.0, 1564128.0)	(35.0, 1892206.0)	(36.0, 2370158.0)	(37.0, 3118228.0)	(38.0, 4497314.0)	(39.0, 7923312.0)	(40.0, 15617342.0)
SRR8146944_1	(13.0, 8.0)	(14.0, 44.0)	(15.0, 244.0)	(16.0, 713.0)	(17.0, 2266.0)	(18.0, 6417.0)	(19.0, 16162.0)	(20.0, 34789.0)	(21.0, 65471.0)	(22.0, 108548.0)	(23.0, 163092.0)	(24.0, 229239.0)	(25.0, 304593.0)	(26.0, 389881.0)	(27.0, 484234.0)	(28.0, 591247.0)	(29.0, 711528.0)	(30.0, 851396.0)	(31.0, 1006450.0)	(32.0, 1169212.0)	(33.0, 1334680.0)	(34.0, 1500926.0)	(35.0, 1685056.0)	(36.0, 1916838.0)	(37.0, 2250359.0)	(38.0, 2787331.0)	(39.0, 3907232.0)	(40.0, 6253834.0)			
SRR8146944_2	(11.0, 21.0)	(12.0, 358.0)	(13.0, 2168.0)	(14.0, 9549.0)	(15.0, 28445.0)	(16.0, 62719.0)	(17.0, 103381.0)	(18.0, 143294.0)	(19.0, 185811.0)	(20.0, 228233.0)	(21.0, 274462.0)	(22.0, 322705.0)	(23.0, 375662.0)	(24.0, 432281.0)	(25.0, 496137.0)	(26.0, 564159.0)	(27.0, 642898.0)	(28.0, 730231.0)	(29.0, 829998.0)	(30.0, 945073.0)	(31.0, 1075378.0)	(32.0, 1218017.0)	(33.0, 1376430.0)	(34.0, 1541832.0)	(35.0, 1732013.0)	(36.0, 1963646.0)	(37.0, 2283039.0)	(38.0, 2766326.0)	(39.0, 3618193.0)	(40.0, 3819331.0)	
SRR8146951_1	(12.0, 2.0)	(13.0, 3.0)	(14.0, 2.0)	(15.0, 5.0)	(16.0, 18.0)	(17.0, 77.0)	(18.0, 266.0)	(19.0, 786.0)	(20.0, 2450.0)	(21.0, 6266.0)	(22.0, 14367.0)	(23.0, 29167.0)	(24.0, 53376.0)	(25.0, 92051.0)	(26.0, 146076.0)	(27.0, 214545.0)	(28.0, 302005.0)	(29.0, 401524.0)	(30.0, 514400.0)	(31.0, 642830.0)	(32.0, 790015.0)	(33.0, 957553.0)	(34.0, 1161914.0)	(35.0, 1437426.0)	(36.0, 1833151.0)	(37.0, 2459197.0)	(38.0, 3606484.0)	(39.0, 6686023.0)	(40.0, 25984097.0)		
SRR8146951_2	(12.0, 33.0)	(13.0, 193.0)	(14.0, 811.0)	(15.0, 2514.0)	(16.0, 10585.0)	(17.0, 34378.0)	(18.0, 70731.0)	(19.0, 109318.0)	(20.0, 147601.0)	(21.0, 187346.0)	(22.0, 230501.0)	(23.0, 277214.0)	(24.0, 328800.0)	(25.0, 384021.0)	(26.0, 443979.0)	(27.0, 514229.0)	(28.0, 593186.0)	(29.0, 681873.0)	(30.0, 787038.0)	(31.0, 912477.0)	(32.0, 1064943.0)	(33.0, 1256445.0)	(34.0, 1508669.0)	(35.0, 1851402.0)	(36.0, 2355509.0)	(37.0, 3145915.0)	(38.0, 4587183.0)	(39.0, 8174640.0)	(40.0, 17674542.0)		
